cricheroes_match_id,innings_number,cricheroes_team_id,bowling_order,cricheroes_player_id,name,overs,maidens,runs,wickets,dots,fours_conceded,sixes_conceded,wides,noballs,economy_rate
1690028,2,1251252,1,8578931,Srihari,1,0,19,0,2,1,1,0,3,19.00
1690028,2,1251252,2,7662592,Vittala,1,0,23,0,2,0,3,1,2,23.00
1690028,2,1251252,3,8846097,Vishnunandan,1,0,8,2,3,0,1,0,0,8.00
1690028,2,1251252,4,5994303,Srikanth T K,1,0,6,1,4,1,0,1,0,6.00
1690028,2,1251252,5,8444531,Shreenidhi Prakash,0.2,0,6,1,1,0,1,0,0,18.00
1690031,1,1251242,1,8445376,Amith,1,0,11,0,3,0,1,3,0,11.00
1690031,1,1251242,2,809163,Pranav Pk,1,0,10,0,3,0,1,0,1,10.00
1690031,1,1251242,3,8445414,Tej,2,0,27,0,4,1,3,0,1,13.50
1690031,1,1251242,4,8445420,Madhusudhan K S,1,0,14,0,1,1,1,1,0,14.00
1690031,1,1251242,5,5922441,Prasanna,1,0,20,0,1,1,2,0,1,20.00
1690031,2,1251253,1,8445356,Pradyumna,1,0,4,0,4,0,0,2,0,4.00
1690031,2,1251253,2,4416809,Bharath Foundry,2,0,14,0,3,1,0,0,1,7.00
1690031,2,1251253,3,8445342,Guruprasad Ramachandrachar,1,0,16,1,2,0,2,1,0,16.00
1690031,2,1251253,4,8467573,Ajith,1,0,9,0,1,1,0,1,0,9.00
1690031,2,1251253,5,8469155,Krishna Mys,1,0,24,0,2,0,4,0,0,24.00
1690029,1,1251263,1,809867,Prabhav PK,1,0,17,0,1,0,2,0,0,17.00
1690029,1,1251263,2,4048334,Ravi Aniruddha  (c),2,0,13,1,6,0,0,4,1,6.50
1690029,1,1251263,3,8445499,Paneendra Gautham,1,0,15,0,0,1,1,1,0,15.00
1690029,1,1251263,4,4143096,Aniruddha Dv,1,0,12,0,0,0,1,1,0,12.00
1690029,1,1251263,5,8445343,Anantha Madhava,1,0,10,0,1,0,1,0,0,10.00
1690029,2,1251256,1,8556484,Srinidhi NS,1,0,3,0,4,0,0,0,0,3.00
1690029,2,1251256,2,8556507,Prabhanjan,1,0,7,0,4,1,0,1,0,7.00
1690029,2,1251256,3,1224122,Badriprasad,2,0,14,1,9,0,2,1,0,7.00
1690029,2,1251256,4,8445318,K S AKSHAY KAUSHIK,1,0,4,0,2,0,0,0,0,4.00
1690029,2,1251256,5,6508655,Sudharshan,1,0,23,0,0,2,2,0,0,23.00
1817613,1,1251252,1,8578931,Srihari,1,0,8,0,5,1,0,4,0,8.00
1817613,1,1251252,2,5994303,Srikanth T K,1,0,9,0,2,0,1,0,0,9.00
1817613,1,1251252,3,8444531,Shreenidhi Prakash,1,0,17,0,1,0,2,0,1,17.00
1817613,1,1251252,4,8846097,Vishnunandan,2,0,20,0,3,0,2,0,0,10.00
1817613,1,1251252,5,8444550,Bharadwaj Srivatsa  (c),1,0,7,2,3,1,0,1,0,7.00
1817613,2,1251253,1,8445356,Pradyumna,1,0,3,0,3,0,0,0,0,3.00
1817613,2,1251253,2,8467573,Ajith,1,0,18,0,1,0,1,2,3,18.00
