cricheroes_match_id,cricheroes_tournament_id,season,match_number,stage,cricheroes_team_a_id,cricheroes_team_b_id,team_a_name,team_b_name,scheduled_at,started_at,ended_at,venue,overs_per_innings,players_per_side,cricheroes_toss_winner_id,toss_decision,status,result_type,cricheroes_winner_id,winner_name,win_margin,cricheroes_pom_player_id,pom_player_name,cricheroes_round_name,match_result,is_super_over,ground_name,city_name
1690029,236267,1,15,group,1251256,1251263,Team Raghuttama Thirtharu,Team Bhramanya Thirtharu,2021-04-11T13:18:13.000Z,2021-04-11T13:18:13.000Z,2021-04-11 13:47:57,Pro Legacy Sports Academy,6,6,1251256,bat,completed,normal,1251256,Team Raghuttama Thirtharu,15 runs,1224122,Badri (5a),League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1817613,236267,1,16,semi,1251253,1251252,Team Vadiraja Thirtharu,Team Vijayeendra Thirtharu,2021-04-11T13:54:56.000Z,2021-04-11T13:54:56.000Z,2021-04-11 14:32:19,Pro Legacy Sports Academy,6,6,1251253,bat,completed,normal,1251253,Team Vadiraja Thirtharu,6 runs,4416809,Bharath Foundry,Semi Final,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1817710,236267,1,17,semi,1251263,1251256,Team Brahmanya Thirtharu,Team Raghuttama Thirtharu,2021-04-11T14:34:32.000Z,2021-04-11T14:34:32.000Z,2021-04-11 15:09:03,Pro Legacy Sports Academy,6,6,1251263,bat,completed,normal,1251263,Team Brahmanya Thirtharu,2 runs,4143096,Aniruddha Dv,Semi Final,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
1817785,236267,1,18,final,1251253,1251263,Team Vadiraja Thirtharu,Team Brahmanya Thirtharu,2021-04-11T15:13:27.000Z,2021-04-11T15:13:27.000Z,2021-04-11 15:51:29,Pro Legacy Sports Academy,6,6,1251253,bat,completed,normal,1251263,Team Brahmanya Thirtharu,2 wickets,8445499,Paneendra Gautham,Final,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2273279,293657,2,1,group,1597084,1597085,Hoysala Hunters,Chalukya Chakravarthis,2021-10-03T03:53:52.000Z,2021-10-03T03:53:52.000Z,2021-10-03 04:27:21,Pro Legacy Sports Academy,7,6,1597085,bowl,completed,normal,1597084,Hoysala Hunters,13 runs,8129644,Pavan Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2273286,293657,2,2,group,1597087,1597088,Rashtrakuta Ranadheeras,Kadamba Yodharu,2021-10-03T04:34:50.000Z,2021-10-03T04:34:50.000Z,2021-10-03 05:11:10,Pro Legacy Sports Academy,7,6,1597087,bat,completed,normal,1597088,Kadamba Yodharu,5 wickets,8445318,K S Akshay Kaushik,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2276322,293657,2,3,group,1597091,1597090,Vijayanagara Royals,Wodeyars The Kings,2021-10-03T05:13:36.000Z,2021-10-03T05:13:36.000Z,2021-10-03 05:40:04,Pro Legacy Sports Academy,7,6,1597091,bat,completed,normal,1597091,Vijayanagara Royals,14 runs,4143096,Aniruddha Dv,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2276324,293657,2,4,group,1597088,1597084,Kadamba Yodhas,Hoysala Hunters,2021-10-03T05:43:52.000Z,2021-10-03T05:43:52.000Z,2021-10-03 06:16:02,Pro Legacy Sports Academy,7,6,1597084,bowl,completed,normal,1597084,Hoysala Hunters,6 wickets,8129644,Pavan Kashyap,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2276597,293657,2,5,group,1597091,1597085,Vijayanagara Royals,Chalukya Chakravarthis,2021-10-03T06:23:17.000Z,2021-10-03T06:23:17.000Z,2021-10-03 06:55:51,Pro Legacy Sports Academy,7,6,1597091,bat,completed,normal,1597091,Vijayanagara Royals,1 run,5994303,Srikanth T K,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
2276601,293657,2,6,group,1597090,1597087,Wodeyars The Kings,Rashtrakuta Ranadheeras,2021-10-03T06:59:38.000Z,2021-10-03T06:59:38.000Z,2021-10-03 07:38:36,Pro Legacy Sports Academy,7,6,1597090,bat,completed,normal,1597087,Rashtrakuta Ranadheeras,4 wickets,8445343,Anantha Madhava,League Matches,Resulted,0,Pro Legacy Sports Academy,Bengaluru (Bangalore)
