cricheroes_match_id,innings_number,cricheroes_team_id,batting_order,cricheroes_player_id,name,is_captain,runs,balls,minutes,fours,sixes,strike_rate,batting_hand,how_to_out,is_out
4010588,1,1597084,6,8129644,Pavan Kashyap,1,8,5,2,0,1,160.00,RHB,not out,0
4010588,2,1597087,1,8578931,Srihari,0,3,6,2,0,0,50.00,LHB,retired out,1
4010588,2,1597087,2,8846097,Vishnunandan,0,0,0,4,0,0,0.00,LHB,retired hurt,1
4010588,2,1597087,3,8445420,Madhusudhan K S,0,5,6,2,1,0,83.33,RHB,retired out,1
4010588,2,1597087,4,8452770,Ashrith Kashyap,0,61,13,11,1,9,469.23,RHB,not out,0
4010588,2,1597087,5,10031492,Mady,0,11,7,11,0,1,157.14,RHB,not out,0
6946993,1,1597090,1,8445420,Madhusudhan K S,0,7,6,1,0,1,116.67,RHB,retired hurt,1
6946993,1,1597090,2,8445499,Paneendra Gautham,0,0,0,5,0,0,0.00,RHB,retired hurt,1
6946993,1,1597090,3,10052264,Srikrishna,0,2,6,2,0,0,33.33,RHB,retired hurt,1
6946993,1,1597090,4,8445368,Jeethu,0,55,20,10,1,8,275.00,LHB,not out,0
6946993,1,1597090,5,8445292,Mahesh,0,6,11,6,1,0,54.55,LHB,retired hurt,1
6946993,1,1597090,6,1224122,Badriprasad,0,6,2,3,0,1,300.00,RHB,not out,0
6946993,2,1597087,1,8578931,Srihari,0,15,6,4,0,2,250.00,LHB,retired hurt,1
6946993,2,1597087,2,7662592,Vittala,0,0,0,6,0,0,0.00,RHB,retired hurt,1
6946993,2,1597087,3,10031570,Sridhar Ramchandrachar,0,13,6,3,0,2,216.67,LHB,retired hurt,1
6946993,2,1597087,4,809163,Pranav PK,0,14,13,6,1,1,107.69,RHB,b Paneendra Gautham,1
6946993,2,1597087,5,8444550,Bharadwaj Srivatsa,1,31,11,9,1,4,281.82,RHB,not out,0
6946993,2,1597087,6,8452770,Ashrith Kashyap,0,7,2,3,0,1,350.00,RHB,not out,0
6947000,1,1597088,1,8445356,Pradyumna,0,15,7,4,0,2,214.29,RHB,retired hurt,1
6947000,1,1597088,2,6508655,Sudharshan,0,0,1,5,0,0,0.00,RHB,retired hurt,1
6947000,1,1597088,3,19421271,Krishnamurthy,0,8,10,7,1,0,80.00,RHB,retired hurt,1
6947000,1,1597088,4,8444531,Shreenidhi Prakash,0,28,12,12,3,2,233.33,RHB,retired hurt,1
6947000,1,1597088,5,8445318,K S AKSHAY KAUSHIK,0,24,10,6,1,3,240.00,RHB,not out,0
6947000,1,1597088,6,8445462,Prasad K S,1,5,6,2,0,0,83.33,RHB,not out,0
6947000,2,1597091,1,20546462,Hrishikesha,0,0,6,1,0,0,0.00,RHB,retired hurt,1
6947000,2,1597091,2,4143096,Aniruddha Dv,0,27,11,20,1,3,245.45,RHB,not out,0
6947000,2,1597091,3,4048300,Vadiraj,0,9,6,2,0,1,150.00,RHB,retired hurt,1
6947000,2,1597091,4,8445343,Anantha Madhava,0,21,10,8,0,3,210.00,RHB,run out Krishnamurthy,1
6947000,2,1597091,5,4048334,Ravi Aniruddha,1,2,10,6,0,0,20.00,RHB,not out,0
6947011,1,388115,1,8450899,Sandeep,0,3,6,2,0,0,50.00,LHB,retired out,1
6947011,1,388115,2,8670699,Ajith P  (wk),0,0,0,5,0,0,0.00,RHB,retired hurt,1
6947011,1,388115,3,10052159,Praveena,1,3,6,2,0,0,50.00,RHB,retired out,1
6947011,1,388115,4,4416809,BHARATH G S AGASTHYA,0,24,9,6,1,3,266.67,RHB,c Amith P b Pavan Kashyap,1
6947011,1,388115,5,8444682,Pavan Gautham,0,26,11,12,0,4,236.36,RHB,not out,0
6947011,1,388115,6,8556507,Prabhanjan,0,5,9,4,1,0,55.56,RHB,retired hurt,1
6947011,1,388115,7,10052031,Yashu,0,1,1,1,0,0,100.00,RHB,not out,0
6947011,2,1597084,1,3542117,Amith P,0,4,6,2,0,0,66.67,RHB,retired hurt,1
6947011,2,1597084,2,8453971,Srikanth Krishnamurthy,0,0,0,2,0,0,0.00,RHB,run out Ajith P,1
6947011,2,1597084,3,10046726,Shrivatsa Hatwar,0,13,6,2,0,2,216.67,RHB,retired hurt,1
6947011,2,1597084,4,8814171,Pavan Raghavendra,0,26,11,9,0,4,236.36,RHB,not out,0
